id,node_type
36,<operator>.lessThan DOWN
88,<operator>.preDecrement DOWN
3,LOCAL DOWN
86,<operator>.notEquals UP
77,RETURN UP
5,CALL UP
82,<operator>.modulo UP
4,TYPE_FULL_NAME DOWN
23,Label UP
8,IDENTIFIER UP
52,<operator>.memberAccess DOWN
75,<operator>.logicalAnd UP
103,SizeofOperand UP
12,LITERAL UP
26,BreakStatement DOWN
115,<operator>.arithmeticShiftRight DOWN
78,<operator>.assignmentMinus UP
104,<operator>.indirection UP
21,<operator>.division UP
41,ContinueStatement DOWN
90,<operator>.minus DOWN
63,<operator>.assignmentPlus UP
81,<operator>.logicalNot DOWN
109,<operator>.assignmentDivision DOWN
31,METHOD UP
101,<operator>.or DOWN
93,SwitchStatement DOWN
58,WhileStatement UP
47,<operator>.cast DOWN
79,<operator>.assignmentMinus DOWN
106,<operator>.and UP
53,ForStatement UP
73,<operator>.lessEqualsThan UP
22,<operator>.division DOWN
95,ConditionalExpression DOWN
65,<operator>.equals UP
105,<operator>.indirection DOWN
60,<operator>.preIncrement DOWN
29,RETURN DOWN
97,DoStatement DOWN
111,<operator>.assignmentMultiplication DOWN
28,BreakStatement UP
91,<operator>.preDecrement UP
83,<operator>.modulo DOWN
102,SizeofOperand DOWN
35,<operator>.lessThan UP
96,DoStatement UP
112,<operator>.indirectMemberAccess UP
32,METHOD DOWN
85,<operator>.postDecrement UP
10,<operator>.addressOf DOWN
66,<operator>.equals DOWN
19,<operator>.multiplication UP
17,<operator>.subtraction UP
49,<operator>.computedMemberAccess UP
107,<operator>.and DOWN
59,WhileStatement DOWN
70,ElseStatement UP
30,METHOD_RETURN UP
72,METHOD_PARAMETER_IN DOWN
64,<operator>.assignmentPlus DOWN
11,NAME DOWN
39,<operator>.logicalOr UP
18,<operator>.subtraction DOWN
13,<operator>.addressOf UP
84,<operator>.postDecrement DOWN
108,<operator>.assignmentDivision UP
37,<operator>.greaterEqualsThan UP
89,<operator>.minus UP
114,<operator>.arithmeticShiftRight UP
27,Label DOWN
116,GotoStatement DOWN
110,<operator>.assignmentMultiplication UP
61,<operator>.greaterThan UP
74,<operator>.lessEqualsThan DOWN
14,TYPE_FULL_NAME UP
7,LITERAL DOWN
87,<operator>.notEquals DOWN
94,ConditionalExpression UP
54,ForStatement DOWN
25,BLOCK DOWN
55,<operator>.postIncrement DOWN
71,METHOD_PARAMETER_IN UP
50,<operator>.computedMemberAccess DOWN
67,ElseStatement DOWN
48,CastTarget DOWN
6,CALL DOWN
34,<operator>.assignment DOWN
46,<operator>.cast UP
20,<operator>.multiplication DOWN
42,IfStatement UP
44,<operator>.sizeOf DOWN
76,<operator>.logicalAnd DOWN
33,<operator>.assignment UP
16,<operator>.addition DOWN
98,<operator>.shiftLeft UP
113,<operator>.indirectMemberAccess DOWN
117,GotoStatement UP
9,IDENTIFIER DOWN
24,BLOCK UP
62,<operator>.greaterThan DOWN
57,<operator>.preIncrement UP
99,<operator>.shiftLeft DOWN
43,IfStatement DOWN
92,SwitchStatement UP
1,NAME UP
40,<operator>.logicalOr DOWN
100,<operator>.or UP
38,<operator>.greaterEqualsThan DOWN
15,<operator>.addition UP
80,<operator>.logicalNot UP
45,CastTarget UP
68,ContinueStatement UP
51,<operator>.memberAccess UP
56,<operator>.postIncrement UP
69,<operator>.sizeOf UP
2,LOCAL UP
